codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00016,00024,00028,00029,00036,00037,00041,00050,00058,00061,00077,00108
01,001,Comuna 01,00010,000276,0,0,9,0,10,0,0,4,93,0,110,0,0,0,8
01,001,Comuna 01,00010,000277,0,0,7,0,15,0,0,7,85,0,122,0,0,0,8
01,001,Comuna 01,00010,000278,0,0,4,0,20,0,0,19,75,0,110,0,0,0,6
01,001,Comuna 01,00010,000279,0,0,4,0,13,0,0,20,85,0,111,0,0,0,3
01,001,Comuna 01,00010,000280,0,0,18,0,11,0,0,13,87,0,101,0,0,0,4
01,001,Comuna 01,00010,000281,0,0,11,0,15,0,0,11,97,0,104,0,0,0,9
01,001,Comuna 01,00010,000282,0,0,10,0,12,0,0,5,95,0,106,0,0,0,4
01,001,Comuna 01,00010,000283,0,0,10,0,20,0,0,12,77,0,111,0,0,0,10
01,001,Comuna 01,00010,000284,0,0,8,0,9,0,0,10,91,0,120,0,0,0,4
01,001,Comuna 01,00010,000285,0,0,10,0,9,0,0,6,83,0,138,0,0,0,4
01,001,Comuna 01,00010,000286,0,0,9,0,9,0,0,9,82,0,110,0,0,0,5
01,001,Comuna 01,00010,000287,0,0,8,0,12,0,0,13,81,0,130,0,0,0,2
01,001,Comuna 01,00010,000288,0,0,10,0,13,0,0,10,96,0,115,0,0,0,3
01,001,Comuna 01,00010,000289,0,0,6,0,12,0,0,12,93,0,115,0,0,0,7
01,001,Comuna 01,00010,000290,0,0,7,0,18,0,0,8,93,0,106,0,0,0,10
01,001,Comuna 01,00010,000291,0,0,5,0,16,0,0,6,97,0,129,0,0,0,6
